id,type,time,Customer_Order,Transport_Document,Vehicle,Container,Handling_Unit,Truck,Forklift
reg_co1,Register_Customer_Order,2023-05-22T11:54:42,co1,,,,,,
reg_co2,Register_Customer_Order,2023-05-22T18:33:30,co2,,,,,,
create_td1,Create_Transport_Document,2023-05-23T08:22:17,co2,td1,,,,,
book_vehs_td1,Book_Vehicles,2023-05-23T10:05:16,,td1,"vh1,vh4",,,,
reg_co3,Register_Customer_Order,2023-05-23T12:14:57,co3,,,,,,
order_crs_td1,Order_Empty_Containers,2023-05-23T13:22:08,,td1,,"cr1,cr2,cr3,cr4,cr5",,,
reg_co4,Register_Customer_Order,2023-05-23T18:34:15,co4,,,,,,
reg_co5,Register_Customer_Order,2023-05-24T12:16:04,co5,,,,,,
reg_co6,Register_Customer_Order,2023-05-24T18:37:36,co6,,,,,,
pick_cr2,Pick_Up_Empty_Container,2023-05-24T19:02:38,,,,cr2,,,
collect_hu1,Collect_Goods,2023-05-24T19:02:38,,,,,hu1,,
pick_cr3,Pick_Up_Empty_Container,2023-05-25T00:23:40,,,,cr3,,,
collect_hu9,Collect_Goods,2023-05-25T05:03:58,,,,,hu9,,
collect_hu5,Collect_Goods,2023-05-25T05:05:26,,,,,hu5,,
collect_hu12,Collect_Goods,2023-05-25T05:14:13,,,,,hu12,,
collect_hu11,Collect_Goods,2023-05-25T05:21:22,,,,,hu11,,
collect_hu8,Collect_Goods,2023-05-25T05:32:38,,,,,hu8,,
collect_hu2,Collect_Goods,2023-05-25T05:33:42,,,,,hu2,,
collect_hu4,Collect_Goods,2023-05-25T05:36:20,,,,,hu4,,
collect_hu3,Collect_Goods,2023-05-25T05:39:41,,,,,hu3,,
load_truck_hu4,Load_Truck,2023-05-25T05:43:08,,,,cr2,hu4,tr6,
load_truck_hu1,Load_Truck,2023-05-25T05:46:53,,,,cr2,hu1,tr6,
collect_hu7,Collect_Goods,2023-05-25T05:49:30,,,,,hu7,,
load_truck_hu5,Load_Truck,2023-05-25T05:51:14,,,,cr2,hu5,tr6,
collect_hu6,Collect_Goods,2023-05-25T05:55:43,,,,,hu6,,
load_truck_hu2,Load_Truck,2023-05-25T05:56:03,,,,cr2,hu2,tr6,
load_truck_hu3,Load_Truck,2023-05-25T05:57:13,,,,cr2,hu3,tr6,
collect_hu10,Collect_Goods,2023-05-25T06:58:06,,,,,hu10,,
load_truck_hu6,Load_Truck,2023-05-25T06:59:27,,,,cr2,hu6,tr6,
load_truck_hu9,Load_Truck,2023-05-25T07:37:58,,,,cr3,hu9,tr4,
load_truck_hu8,Load_Truck,2023-05-25T07:41:41,,,,cr3,hu8,tr4,
load_truck_hu12,Load_Truck,2023-05-25T07:42:57,,,,cr3,hu12,tr4,
load_truck_hu11,Load_Truck,2023-05-25T07:43:57,,,,cr3,hu11,tr4,
load_truck_hu10,Load_Truck,2023-05-25T07:45:13,,,,cr3,hu10,tr4,
