id,weight,price
i-880001,0.78,99.99
i-880002,0.78,99.99
i-880003,0.188,1149.0
i-880004,1.37,2500.0
i-880005,0.495,129.0
i-880006,0.28,449.0
i-880007,0.2,39.99
i-880008,0.21,529.0
i-880009,0.483,1099.0
i-880010,0.172,699.0
i-880011,0.495,129.0
i-880012,0.483,1099.0
i-880013,0.78,99.99
i-880014,0.495,129.0
i-880015,0.98,129.99
i-880016,0.98,129.99
i-880017,0.21,529.0
i-880018,0.483,1099.0
i-880019,0.28,89.99
i-880020,0.38,29.99
i-880021,1.25,2200.0
i-880022,1.48,199.99
i-880023,0.495,129.0
i-880024,0.44,476.0
i-880025,0.2,39.99
i-880026,0.188,1149.0
i-880027,1.48,199.99
i-880028,0.88,89.99
i-880029,0.483,495.0
i-880030,0.483,495.0
i-880031,1.25,2200.0
i-880032,0.483,1099.0
i-880033,0.44,476.0
i-880034,0.78,99.99
i-880035,0.28,89.99
i-880036,0.28,449.0
i-880037,0.21,529.0
i-880038,0.44,476.0
i-880039,0.44,476.0
i-880040,0.172,699.0
i-880041,0.188,1149.0
i-880042,0.166,799.0
i-880043,0.2,39.99
i-880044,1.48,199.99
i-880045,0.483,495.0
i-880046,0.2,39.99
i-880047,0.21,529.0
i-880048,0.188,1149.0
i-880049,0.172,699.0
i-880050,0.483,1099.0
i-880051,0.166,799.0
i-880052,1.48,199.99
i-880053,0.98,129.99
i-880054,0.28,449.0
i-880055,1.25,2200.0
i-880056,0.78,99.99
i-880057,0.483,1099.0
i-880058,0.38,29.99
i-880059,0.38,29.99
i-880060,0.21,529.0
i-880061,0.166,799.0
i-880062,0.172,699.0
i-880063,0.172,699.0
i-880064,0.21,529.0
i-880065,0.28,89.99
i-880066,0.28,449.0
i-880067,1.28,149.99
i-880068,0.483,495.0
i-880069,1.28,149.99
i-880070,0.28,449.0
i-880071,0.78,99.99
i-880072,0.28,89.99
i-880073,0.172,699.0
i-880074,0.483,1099.0
i-880075,0.483,1099.0
i-880076,1.48,199.99
i-880077,0.166,799.0
i-880078,0.38,29.99
i-880079,0.28,89.99
i-880080,1.28,149.99
i-880081,0.28,449.0
i-880082,0.88,89.99
i-880083,0.2,39.99
i-880084,0.38,29.99
i-880085,0.88,89.99
i-880086,0.188,1149.0
i-880087,0.495,129.0
i-880088,0.188,1149.0
i-880089,0.166,799.0
i-880090,0.483,495.0
i-880091,1.48,199.99
i-880092,0.166,799.0
i-880093,0.44,476.0
i-880094,0.2,39.99
i-880095,0.483,1099.0
i-880096,1.48,199.99
i-880097,0.483,495.0
i-880098,0.483,495.0
i-880099,0.483,79.99
i-880100,0.88,89.99
i-880101,1.25,2200.0
i-880102,0.495,129.0
i-880103,0.483,1099.0
i-880104,0.21,529.0
i-880105,0.44,476.0
i-880106,0.188,1149.0
i-880107,0.28,89.99
i-880108,1.28,149.99
i-880109,0.44,476.0
i-880110,0.21,529.0
i-880111,0.38,29.99
i-880112,0.44,476.0
i-880113,0.44,476.0
i-880114,0.483,495.0
i-880115,1.48,199.99
i-880116,0.98,129.99
i-880117,1.28,149.99
i-880118,0.44,476.0
i-880119,0.172,699.0
i-880120,0.188,1149.0
i-880121,1.28,149.99
i-880122,0.28,449.0
i-880123,0.483,79.99
i-880124,0.172,699.0
i-880125,0.78,99.99
i-880126,0.78,99.99
i-880127,1.25,2200.0
i-880128,0.28,89.99
i-880129,0.78,99.99
i-880130,0.98,129.99
i-880131,0.38,29.99
i-880132,0.28,89.99
i-880133,0.21,529.0
i-880134,0.44,476.0
i-880135,0.28,89.99
i-880136,0.28,89.99
i-880137,0.21,529.0
i-880138,0.483,1099.0
i-880139,0.98,129.99
i-880140,0.88,89.99
i-880141,0.28,89.99
i-880142,0.495,129.0
i-880143,0.188,1149.0
i-880144,1.28,149.99
i-880145,1.25,2200.0
i-880146,0.495,129.0
i-880147,1.48,199.99
i-880148,0.188,1149.0
i-880149,0.78,99.99
i-880150,0.172,699.0
i-880151,0.166,799.0
i-880152,1.48,199.99
i-880153,0.21,529.0
i-880154,0.38,29.99
i-880155,1.37,2500.0
i-880156,0.28,449.0
i-880157,0.483,495.0
i-880158,0.2,39.99
i-880159,0.483,1099.0
i-880160,0.188,1149.0
i-880161,0.28,89.99
i-880162,0.98,129.99
i-880163,0.2,39.99
i-880164,0.166,799.0
i-880165,0.88,89.99
i-880166,1.48,199.99
i-880167,0.21,529.0
i-880168,0.28,449.0
i-880169,0.88,89.99
i-880170,0.483,79.99
i-880171,0.188,1149.0
i-880172,0.483,495.0
i-880173,0.483,495.0
i-880174,0.495,129.0
i-880175,0.21,529.0
i-880176,0.483,79.99
i-880177,0.483,1099.0
i-880178,0.166,799.0
i-880179,1.28,149.99
i-880180,0.495,129.0
i-880181,0.28,449.0
i-880182,0.483,495.0
i-880183,0.483,79.99
i-880184,0.172,699.0
i-880185,1.48,199.99
i-880186,1.48,199.99
i-880187,1.37,2500.0
i-880188,0.188,1149.0
i-880189,0.88,89.99
i-880190,0.2,39.99
i-880191,0.98,129.99
i-880192,0.28,449.0
i-880193,0.28,89.99
i-880194,0.188,1149.0
i-880195,0.172,699.0
i-880196,1.37,2500.0
i-880197,0.166,799.0
i-880198,0.483,495.0
i-880199,1.37,2500.0
i-880200,0.166,799.0
i-880201,0.188,1149.0
i-880202,0.98,129.99
i-880203,0.2,39.99
i-880204,1.25,2200.0
i-880205,0.172,699.0
i-880206,0.28,89.99
i-880207,0.2,39.99
i-880208,0.188,1149.0
i-880209,0.28,89.99
i-880210,0.44,476.0
i-880211,0.98,129.99
i-880212,1.25,2200.0
i-880213,0.483,79.99
i-880214,0.2,39.99
i-880215,1.28,149.99
i-880216,1.48,199.99
i-880217,1.25,2200.0
i-880218,0.188,1149.0
i-880219,0.483,495.0
i-880220,0.44,476.0
i-880221,0.28,89.99
i-880222,0.483,79.99
i-880223,1.25,2200.0
i-880224,0.483,79.99
i-880225,1.28,149.99
i-880226,0.88,89.99
i-880227,0.188,1149.0
i-880228,0.28,89.99
i-880229,1.28,149.99
