id,Net_Price_EKPO_NETPR,Quantity_EKPO_MENGE,Delivery_Date_EKPO_BEDAT,Plant_EKPO_WERKS,Material_EKPO_MATNR,Storage_Location_EKPO_LGORT
material:1434,400,37,2023-10-06T09:30:21.890421,2000,HELMET_S,0001
material:1815,1500,45,2023-10-24T09:30:25.877561,4000,CABLE,0004
material:43,650,10,2023-10-23T09:30:10.411048,5000,LOCK,0005
material:237,1250,80,2023-10-07T09:30:11.730221,1000,CHAIN,0005
material:1505,1500,84,2023-10-07T09:30:22.392649,4000,CABLE,0005
material:551,1200,12,2023-10-08T09:30:14.259352,1000,WHEEL_HUB,0005
material:1452,400,78,2023-10-19T09:30:22.016582,1000,HELMET_S,0004
material:912,500,12,2023-10-17T09:30:17.049649,1000,JACKET_S,0004
material:2203,150,100,2023-10-29T09:30:30.646660,1000,BIKE_BRAKE,0003
material:805,800,100,2023-10-05T09:30:16.115625,2000,LIGHT_FRONT,0001
material:874,250,12,2023-10-18T09:30:16.761886,2000,BIKE_RIM,0001
material:453,950,47,2023-10-29T09:30:13.393816,2000,HUB_BEARING,0002
material:28,1250,84,2023-10-17T09:30:10.281219,4000,CHAIN,0002
material:1833,1200,53,2023-10-11T09:30:26.180166,4000,VALVE,0001
material:1487,1200,95,2023-10-23T09:30:22.316551,3000,VALVE,0003
material:1839,200,85,2023-10-29T09:30:26.219155,2000,BIKE_WHEEL,0004
material:653,950,81,2023-10-31T09:30:15.146363,4000,RIM_TAPE,0001
material:1968,100,54,2023-10-17T09:30:27.413274,4000,BIKE_FRAME,0003
material:1560,350,82,2023-10-05T09:30:22.927074,4000,PANTS_S,0002
material:1439,1400,49,2023-10-23T09:30:21.919725,4000,DERAILLEUR,0004
material:1600,1050,89,2023-10-08T09:30:23.421190,1000,NIPPLE,0005
material:533,1250,25,2023-10-28T09:30:14.044581,3000,CHAIN,0004
material:2007,300,54,2023-10-24T09:30:27.847033,1000,BIKE_FORK,0004
material:2126,1350,64,2023-10-14T09:30:29.499526,4000,BOTTOM_BRACKET,0001
material:259,1100,25,2023-10-16T09:30:11.937323,1000,TUBE_26,0003
material:1736,300,33,2023-10-13T09:30:24.931752,4000,BIKE_FORK,0002
material:1504,1350,76,2023-10-25T09:30:22.392645,5000,BOTTOM_BRACKET,0002
material:819,1100,71,2023-10-28T09:30:16.153350,5000,SPOKE,0005
material:2117,1000,84,2023-10-28T09:30:29.162963,5000,TIRE_26,0005
material:1380,500,20,2023-10-25T09:30:21.476945,2000,HELMET_L,0003
material:461,1100,89,2023-10-11T09:30:13.526631,2000,TUBE_26,0002
material:2219,450,97,2023-10-15T09:30:30.777158,1000,JACKET_M,0003
material:226,650,32,2023-10-26T09:30:11.633452,3000,SPEEDOMETER,0002
material:2022,800,56,2023-10-21T09:30:27.930855,1000,LIGHT_FRONT,0004
material:627,1050,35,2023-10-19T09:30:14.976381,5000,NIPPLE,0001
material:1043,600,37,2023-10-08T09:30:18.295778,4000,GLOVES_M,0003
material:263,1050,60,2023-10-08T09:30:12.035454,4000,NIPPLE,0003
material:727,700,97,2023-10-09T09:30:15.605034,2000,PUMP,0002
material:796,300,50,2023-10-07T09:30:16.075404,4000,BIKE_PEDAL,0004
material:612,950,76,2023-10-30T09:30:14.850914,5000,TIRE_28,0001
material:2154,200,23,2023-10-08T09:30:30.271862,3000,BIKE_SPOKE,0005
material:445,200,71,2023-10-28T09:30:13.270273,5000,BIKE_SPOKE,0003
material:1278,1500,32,2023-10-27T09:30:20.270254,3000,PEDAL,0004
material:1139,500,10,2023-10-22T09:30:19.091605,1000,HELMET_L,0002
material:48,600,90,2023-10-14T09:30:10.430109,3000,GLOVES_M,0004
material:219,1200,34,2023-10-14T09:30:11.604391,3000,WHEEL_HUB,0004
material:2233,900,43,2023-11-01T09:30:30.929248,1000,BIKE_BELL,0001
material:1192,500,25,2023-10-29T09:30:19.601788,4000,HELMET_L,0004
material:1930,200,71,2023-10-16T09:30:26.998260,5000,BIKE_WHEEL,0004
material:996,450,84,2023-10-16T09:30:17.920930,3000,GLOVES_S,0001
material:969,1000,55,2023-10-14T09:30:17.656828,3000,TIRE_26,0002
material:1191,450,62,2023-10-05T09:30:19.601781,5000,GLOVES_S,0004
material:2205,100,26,2023-10-12T09:30:30.646678,4000,BIKE_FRAME,0005
material:2246,1200,46,2023-10-17T09:30:31.086332,2000,WHEEL_HUB,0002
material:233,350,42,2023-10-26T09:30:11.675332,3000,PANTS_S,0001
material:1897,900,9,2023-10-06T09:30:26.704952,4000,MIRROR,0002
material:1922,950,54,2023-10-27T09:30:26.978942,2000,TIRE_28,0002
material:1280,1050,46,2023-10-17T09:30:20.271262,1000,TUBE_28,0003
material:1892,650,65,2023-10-11T09:30:26.627297,2000,SPEEDOMETER,0001
material:1180,250,3,2023-10-06T09:30:19.380150,4000,BIKE_RIM,0001
material:1018,500,49,2023-10-18T09:30:18.089873,1000,JACKET_S,0005
material:1933,1100,51,2023-10-17T09:30:26.999023,4000,SPOKE,0004
material:1208,350,24,2023-10-23T09:30:19.732999,1000,GLOVES_L,0003
material:1986,200,93,2023-10-13T09:30:27.660943,4000,BIKE_CHAIN,0005
material:2027,1100,85,2023-10-25T09:30:28.032061,1000,SPOKE,0003
material:1601,700,27,2023-10-14T09:30:23.484256,5000,PUMP,0005
material:889,950,39,2023-10-30T09:30:16.840712,4000,TIRE_28,0002
material:963,100,98,2023-10-19T09:30:17.618403,5000,BIKE_FRAME,0003
material:1552,1350,20,2023-10-24T09:30:22.850777,2000,SHIFT_LEVER,0003
