id,type,time,quotation,purchase_order,material,purchase_requisition,goods_receipt,invoice_receipt,payment
event:1,Create_Purchase_Requisition,2022-04-01T09:26:00,,,"material:3,material:1,material:0,material:2",purchase_requisition:0:pr_trigger_0,,,
event:3,Approve_Purchase_Requisition,2022-04-02T14:16:00,,,"material:3,material:1,material:0,material:2",purchase_requisition:0:pr_trigger_0,,,
event:9,Create_Purchase_Requisition,2022-04-04T08:37:00,,,"material:6,material:5,material:4",purchase_requisition:1:pr_trigger_1,,,
event:11,Create_Purchase_Requisition,2022-04-04T09:25:00,,,material:13,purchase_requisition:4:pr_trigger_4,,,
event:13,Delegate_Purchase_Requisition_Approval,2022-04-04T09:44:00,,,"material:6,material:5,material:4",purchase_requisition:1:pr_trigger_1,,,
event:15,Create_Purchase_Requisition,2022-04-04T10:42:00,,,"material:11,material:12",purchase_requisition:3:pr_trigger_3,,,
event:17,Delegate_Purchase_Requisition_Approval,2022-04-04T11:07:00,,,"material:11,material:12",purchase_requisition:3:pr_trigger_3,,,
event:19,Create_Purchase_Requisition,2022-04-04T15:30:00,,,"material:9,material:10,material:7,material:8",purchase_requisition:2:pr_trigger_2,,,
event:22,Create_Request_for_Quotation,2022-04-05T16:09:00,quotation:2,,,purchase_requisition:3:pr_trigger_3,,,
event:23,Create_Request_for_Quotation,2022-04-05T21:53:00,quotation:0,,,purchase_requisition:0:pr_trigger_0,,,
event:29,Create_Purchase_Order,2022-04-06T07:45:00,quotation:0,purchase_order:2,,,,,
event:31,Approve_Purchase_Requisition,2022-04-06T08:20:00,,,"material:9,material:10,material:7,material:8",purchase_requisition:2:pr_trigger_2,,,
event:33,Create_Purchase_Order,2022-04-06T09:23:00,quotation:2,purchase_order:0,,,,,
event:35,Create_Request_for_Quotation,2022-04-06T09:49:00,quotation:1,,,purchase_requisition:1:pr_trigger_1,,,
event:37,Create_Purchase_Order,2022-04-06T12:06:00,quotation:0,purchase_order:3,,,,,
event:39,Create_Purchase_Requisition,2022-04-06T12:26:00,,,"material:16,material:17,material:18",purchase_requisition:6:pr_trigger_6,,,
event:41,Create_Request_for_Quotation,2022-04-06T13:45:00,quotation:4,,,purchase_requisition:2:pr_trigger_2,,,
event:44,Create_Request_for_Quotation,2022-04-06T16:03:00,quotation:3,,,purchase_requisition:5:pr_trigger_5,,,
event:45,Create_Purchase_Order,2022-04-07T00:22:00,quotation:2,purchase_order:1,,,,,
event:50,Create_Purchase_Order,2022-04-07T16:27:00,quotation:3,purchase_order:8,,,,,
event:51,Create_Purchase_Order,2022-04-07T16:51:00,quotation:1,purchase_order:4,,,,,
event:52,Approve_Purchase_Order,2022-04-07T17:28:00,quotation:0,purchase_order:2,,,,,
event:53,Create_Purchase_Order,2022-04-07T19:14:00,quotation:3,purchase_order:7,,,,,
event:54,Create_Request_for_Quotation,2022-04-07T22:35:00,quotation:5,,,purchase_requisition:7:pr_trigger_7,,,
event:55,Approve_Purchase_Requisition,2022-04-08T04:32:00,,,"material:16,material:17,material:18",purchase_requisition:6:pr_trigger_6,,,
event:61,Create_Request_for_Quotation,2022-04-08T15:03:00,quotation:6,,,purchase_requisition:6:pr_trigger_6,,,
event:62,Approve_Purchase_Order,2022-04-08T22:07:00,quotation:0,purchase_order:3,,,,,
event:63,Create_Purchase_Order,2022-04-09T05:35:00,quotation:4,purchase_order:6,,,,,
event:64,Approve_Purchase_Order,2022-04-09T08:41:00,quotation:1,purchase_order:4,,,,,
event:65,Create_Purchase_Order,2022-04-09T11:27:00,quotation:4,purchase_order:5,,,,,
event:66,Create_Purchase_Order,2022-04-09T19:42:00,quotation:5,purchase_order:9,,,,,
event:83,Create_Goods_Receipt,2022-04-11T08:52:00,,purchase_order:3,,,goods_receipt:0,,
event:84,Create_Request_for_Quotation,2022-04-11T09:50:00,quotation:8,,,purchase_requisition:11:pr_trigger_11,,,
event:87,Approve_Purchase_Order,2022-04-11T11:00:00,quotation:3,purchase_order:7,,,,,
event:88,Create_Goods_Receipt,2022-04-11T11:01:00,,purchase_order:3,,,goods_receipt:1,,
event:89,Create_Purchase_Order,2022-04-11T11:24:00,quotation:6,purchase_order:10,,,,,
event:91,Create_Purchase_Requisition,2022-04-11T12:14:00,,,"material:32,material:33",purchase_requisition:12:pr_trigger_12,,,
event:93,Create_Purchase_Requisition,2022-04-11T12:27:00,,,"material:26,material:28,material:27",purchase_requisition:10:pr_trigger_10,,,
event:95,Approve_Purchase_Requisition,2022-04-11T14:37:00,,,material:13,purchase_requisition:4:pr_trigger_4,,,
event:97,Create_Purchase_Order,2022-04-11T14:56:00,quotation:8,purchase_order:12,,,,,
event:99,Create_Purchase_Requisition,2022-04-11T18:02:00,,,"material:24,material:23,material:25",purchase_requisition:9:pr_trigger_9,,,
event:100,Approve_Purchase_Order,2022-04-11T19:13:00,quotation:3,purchase_order:8,,,,,
event:101,Create_Purchase_Order,2022-04-12T01:54:00,quotation:8,purchase_order:11,,,,,
event:109,Delegate_Purchase_Requisition_Approval,2022-04-12T07:18:00,,,"material:24,material:23,material:25",purchase_requisition:9:pr_trigger_9,,,
event:111,Approve_Purchase_Order,2022-04-12T12:09:00,quotation:4,purchase_order:6,,,,,
event:112,Approve_Purchase_Order,2022-04-12T20:15:00,quotation:2,purchase_order:0,,,,,
event:113,Create_Goods_Receipt,2022-04-13T05:23:00,,purchase_order:2,,,goods_receipt:2,,
event:114,Create_Goods_Receipt,2022-04-13T06:51:00,,purchase_order:3,,,goods_receipt:2,,
event:118,Create_Invoice_Receipt,2022-04-13T07:49:00,,,,,goods_receipt:0,invoice_receipt:2,
event:120,Perform_Two-Way_Match,2022-04-13T07:59:00,,,,,goods_receipt:0,invoice_receipt:2,
event:121,Create_Purchase_Requisition,2022-04-13T08:10:00,,,"material:34,material:36,material:35",purchase_requisition:13:pr_trigger_13,,,
event:123,Create_Goods_Receipt,2022-04-13T10:52:00,,purchase_order:8,,,goods_receipt:4,,
event:124,Approve_Purchase_Order,2022-04-13T11:46:00,quotation:5,purchase_order:9,,,,,
event:126,Create_Invoice_Receipt,2022-04-13T11:47:00,,,,,goods_receipt:2,invoice_receipt:2,
